Date,Open,High,Low,Close,Adj Close,Volume
2018-09-19,113.05,113.32,111.04,111.7,109.97,21728400.0
2018-09-20,112.28,113.8,111.93,113.57,111.81,23714500.0
2018-09-21,114.0,115.29,113.51,114.26,112.49,71229700.0
2018-09-24,113.03,114.9,112.22,114.67,112.9,27334500.0
2018-09-25,114.8,115.1,113.75,114.45,112.68,22668000.0
2018-09-26,114.47,115.06,113.74,113.98,112.22,19352000.0
2018-09-27,114.78,114.91,114.2,114.41,112.64,19091300.0
2018-09-28,114.19,114.57,113.68,114.37,112.6,21647800.0
2018-10-01,114.75,115.68,114.73,115.61,113.82,18883100.0
2018-10-02,115.3,115.84,114.44,115.15,113.37,20787200.0
2018-10-03,115.42,116.18,114.93,115.17,113.39,16648000.0
2018-10-04,114.61,114.76,111.63,112.79,111.05,34821700.0
2018-10-05,112.63,113.17,110.64,112.13,110.4,29068900.0
2018-10-08,111.66,112.03,109.34,110.85,109.14,29640600.0
2018-10-09,111.14,113.08,110.8,112.26,110.52,26198600.0
2018-10-10,111.24,111.5,105.79,106.16,104.52,61376300.0
2018-10-11,105.35,108.93,104.2,105.91,104.27,63904300.0
2018-10-12,109.01,111.24,107.12,109.57,107.87,47742100.0
2018-10-15,108.91,109.48,106.95,107.6,105.94,32068100.0
2018-10-16,109.54,111.41,108.95,111.0,109.28,31610200.0
2018-10-17,111.68,111.81,109.55,110.71,109.0,26548200.0
2018-10-18,110.1,110.53,107.83,108.5,106.82,32506200.0
2018-10-19,108.93,110.86,108.21,108.66,106.98,32785500.0
2018-10-22,109.32,110.54,108.24,109.63,107.93,26545600.0
2018-10-23,107.77,108.97,105.11,108.1,106.43,43770400.0
2018-10-24,108.41,108.49,101.59,102.32,100.74,63897800.0
2018-10-25,106.55,109.27,106.15,108.3,106.62,61646800.0
2018-10-26,105.69,108.75,104.76,106.96,105.31,55523100.0
2018-10-29,108.11,108.7,101.63,103.85,102.24,55162000.0
2018-10-30,103.66,104.38,100.11,103.73,102.13,65350900.0
2018-10-31,105.44,108.14,105.39,106.81,105.16,51062400.0
2018-11-01,107.05,107.32,105.53,105.92,104.28,33384200.0
2018-11-02,106.48,107.32,104.98,106.16,104.52,37680200.0
2018-11-05,106.37,107.74,105.9,107.51,105.85,27922100.0
2018-11-06,107.38,108.84,106.28,107.72,106.05,24340200.0
2018-11-07,109.44,112.24,109.4,111.96,110.23,37901700.0
2018-11-08,111.8,112.21,110.91,111.75,110.02,25644100.0
2018-11-09,110.85,111.45,108.76,109.57,107.87,32039200.0
